SYMBOL,Gene,Feature
,,ENSR00001740942
,,ENSR00000668705
,,
PADI6,ENSG00000276747,ENST00000619609
,,ENSR00001517838
LYPLA2,ENSG00000011009,ENST00000374503
LYPLA2,ENSG00000011009,ENST00000374501
GALE,ENSG00000117308,ENST00000467493
LYPLA2,ENSG00000011009,ENST00000374505
GALE,ENSG00000117308,ENST00000418277
GALE,ENSG00000117308,ENST00000425913
GALE,ENSG00000117308,ENST00000486382
GALE,ENSG00000117308,ENST00000470949
GALE,ENSG00000117308,ENST00000429356
GALE,ENSG00000117308,ENST00000470383
LYPLA2,ENSG00000011009,ENST00000374514
HMGCL,ENSG00000117305,ENST00000374487
LYPLA2,ENSG00000011009,ENST00000495365
GALE,ENSG00000117308,ENST00000466250
GALE,ENSG00000117308,ENST00000456977
HMGCL,ENSG00000117305,ENST00000235958
HMGCL,ENSG00000117305,ENST00000436439
GALE,ENSG00000117308,ENST00000481736
HMGCL,ENSG00000117305,ENST00000374490
GALE,ENSG00000117308,ENST00000459934
LYPLA2,ENSG00000011009,ENST00000420982
GALE,ENSG00000117308,ENST00000469556
GALE,ENSG00000117308,ENST00000467070
LYPLA2,ENSG00000011009,ENST00000421070
GALE,ENSG00000117308,ENST00000617979
LYPLA2,ENSG00000011009,ENST00000492577
GALE,ENSG00000117308,ENST00000445705
GALE,ENSG00000117308,ENST00000374497
LYPLA2,ENSG00000011009,ENST00000374502
LYPLA2,ENSG00000011009,ENST00000472213
SNHG3,ENSG00000242125,ENST00000413987
RCC1,ENSG00000180198,ENST00000398958
RCC1,ENSG00000180198,ENST00000427469
RCC1,ENSG00000180198,ENST00000434290
SNORA73B,ENSG00000200087,ENST00000363217
RCC1,ENSG00000180198,ENST00000373833
SNHG3,ENSG00000242125,ENST00000437681
SNORA73A,ENSG00000274266,ENST00000364938
SNHG3,ENSG00000242125,ENST00000447507
RCC1,ENSG00000180198,ENST00000419074
,,ENSR00001745754
BCAN,ENSG00000132692,ENST00000424639
BCAN,ENSG00000132692,ENST00000361588
BCAN,ENSG00000132692,ENST00000479949
BCAN,ENSG00000132692,ENST00000441358
BCAN,ENSG00000132692,ENST00000457777
BCAN,ENSG00000132692,ENST00000496038
BCAN,ENSG00000132692,ENST00000491823
BCAN,ENSG00000132692,ENST00000329117
RP11-284F21.7,ENSG00000229953,ENST00000448869
C2orf70,ENSG00000173557,ENST00000453368
CIB4,ENSG00000157884,ENST00000288861
C2orf70,ENSG00000173557,ENST00000329615
C2orf70,ENSG00000173557,ENST00000479453
C2orf70,ENSG00000173557,ENST00000409392
CIB4,ENSG00000157884,ENST00000403670
MAP3K2,ENSG00000169967,ENST00000409947
MAP3K2,ENSG00000169967,ENST00000344908
,,ENSR00001934946
HECW2,ENSG00000138411,ENST00000409111
HECW2,ENSG00000138411,ENST00000260983
AGXT,ENSG00000172482,ENST00000476698
AGXT,ENSG00000172482,ENST00000472436
AGXT,ENSG00000172482,ENST00000307503
SLC15A2,ENSG00000163406,ENST00000489711
SLC15A2,ENSG00000163406,ENST00000295605
SLC15A2,ENSG00000163406,ENST00000469422
PLXND1,ENSG00000004399,ENST00000324093
PLXND1,ENSG00000004399,ENST00000515191
PLXND1,ENSG00000004399,ENST00000504767
PLXND1,ENSG00000004399,ENST00000511018
PLXND1,ENSG00000004399,ENST00000514990
PLXND1,ENSG00000004399,ENST00000505505
,,ENSR00001990858
LINC00969,ENSG00000242086,ENST00000452844
SDHAP2,ENSG00000215837,ENST00000455183
LINC00969,ENSG00000242086,ENST00000445430
LINC00969,ENSG00000242086,ENST00000457233
LINC00969,ENSG00000242086,ENST00000453324
LINC00969,ENSG00000242086,ENST00000429897
LINC00969,ENSG00000242086,ENST00000425425
LINC00969,ENSG00000242086,ENST00000446521
,,ENSR00002000412
SCOC-AS1,ENSG00000196951,ENST00000512692
SCOC,ENSG00000153130,ENST00000394205
,,ENSR00002016442
,,ENSR00002022064
,,ENSR00001691064
,,
Y_RNA,ENSG00000199487,ENST00000362617
MTHFD2P6,ENSG00000249266,ENST00000506170
ANKRD32,ENSG00000133302,ENST00000450932
ANKRD32,ENSG00000133302,ENST00000265140
,,
MDGA1,ENSG00000112139,ENST00000502298
MDGA1,ENSG00000112139,ENST00000510077
MDGA1,ENSG00000112139,ENST00000434837
MDGA1,ENSG00000112139,ENST00000478143
MDGA1,ENSG00000112139,ENST00000505425
MDGA1,ENSG00000112139,ENST00000418178
,,ENSR00002052782
DOCK4,ENSG00000128512,ENST00000437633
DOCK4,ENSG00000128512,ENST00000494651
DOCK4,ENSG00000128512,ENST00000423057
DOCK4-AS1,ENSG00000225572,ENST00000452714
DOCK4,ENSG00000128512,ENST00000428084
DOCK4,ENSG00000128512,ENST00000445943
DOCK4,ENSG00000128512,ENST00000469898
PIGO,ENSG00000165282,ENST00000465745
RP11-182N22.8,ENSG00000234181,ENST00000431804
PIGO,ENSG00000165282,ENST00000491687
PIGO,ENSG00000165282,ENST00000474436
PIGO,ENSG00000165282,ENST00000378617
PIGO,ENSG00000165282,ENST00000492770
PIGO,ENSG00000165282,ENST00000472208
PIGO,ENSG00000165282,ENST00000298004
PIGO,ENSG00000165282,ENST00000361778
RP11-262H14.3,ENSG00000234665,ENST00000445604
RP11-262H14.3,ENSG00000234665,ENST00000438699
RP11-262H14.3,ENSG00000234665,ENST00000591993
RP11-262H14.3,ENSG00000234665,ENST00000585533
RP11-262H14.3,ENSG00000234665,ENST00000609749
TJP2,ENSG00000119139,ENST00000498204
TJP2,ENSG00000119139,ENST00000535702
TJP2,ENSG00000119139,ENST00000265384
TJP2,ENSG00000119139,ENST00000453658
TJP2,ENSG00000119139,ENST00000377245
TJP2,ENSG00000119139,ENST00000539225
TJP2,ENSG00000119139,ENST00000348208
TLE4,ENSG00000106829,ENST00000462803
TLE4,ENSG00000106829,ENST00000435650
TLE4,ENSG00000106829,ENST00000265284
TLE4,ENSG00000106829,ENST00000463431
TLE4,ENSG00000106829,ENST00000376544
TLE4,ENSG00000106829,ENST00000376552
TLE4,ENSG00000106829,ENST00000490347
TLE4,ENSG00000106829,ENST00000470872
TLE4,ENSG00000106829,ENST00000376537
TLE4,ENSG00000106829,ENST00000428713
,,ENSR00002119121
SPATA31D5P,ENSG00000240632,ENST00000527857
SPATA31D5P,ENSG00000240632,ENST00000376459
IARS,ENSG00000196305,ENST00000627121
IARS,ENSG00000196305,ENST00000375643
IARS,ENSG00000196305,ENST00000498025
IARS,ENSG00000196305,ENST00000395554
IARS,ENSG00000196305,ENST00000447699
IARS,ENSG00000196305,ENST00000443024
AIF1L,ENSG00000126878,ENST00000372301
AIF1L,ENSG00000126878,ENST00000372309
AIF1L,ENSG00000126878,ENST00000372300
AIF1L,ENSG00000126878,ENST00000372297
AIF1L,ENSG00000126878,ENST00000372302
AIF1L,ENSG00000126878,ENST00000247291
AIF1L,ENSG00000126878,ENST00000372298
AIF1L,ENSG00000126878,ENST00000472942
AIF1L,ENSG00000126878,ENST00000372314
BLNK,ENSG00000095585,ENST00000467799
BLNK,ENSG00000095585,ENST00000224337
BLNK,ENSG00000095585,ENST00000427367
BLNK,ENSG00000095585,ENST00000371176
BLNK,ENSG00000095585,ENST00000413476
BLNK,ENSG00000095585,ENST00000472763
STAT6,ENSG00000166888,ENST00000557781
STAT6,ENSG00000166888,ENST00000555849
STAT6,ENSG00000166888,ENST00000556155
STAT6,ENSG00000166888,ENST00000553533
STAT6,ENSG00000166888,ENST00000556259
STAT6,ENSG00000166888,ENST00000553499
STAT6,ENSG00000166888,ENST00000555318
STAT6,ENSG00000166888,ENST00000538913
STAT6,ENSG00000166888,ENST00000555375
STAT6,ENSG00000166888,ENST00000554202
STAT6,ENSG00000166888,ENST00000555641
STAT6,ENSG00000166888,ENST00000543873
STAT6,ENSG00000166888,ENST00000553397
STAT6,ENSG00000166888,ENST00000554764
STAT6,ENSG00000166888,ENST00000555222
STAT6,ENSG00000166888,ENST00000454075
STAT6,ENSG00000166888,ENST00000554663
STAT6,ENSG00000166888,ENST00000554825
STAT6,ENSG00000166888,ENST00000537215
STAT6,ENSG00000166888,ENST00000300134
STAT6,ENSG00000166888,ENST00000555104
,,ENSR00001823040
LGR5,ENSG00000139292,ENST00000547310
LGR5,ENSG00000139292,ENST00000536515
LGR5,ENSG00000139292,ENST00000550851
RP11-186F10.2,ENSG00000257761,ENST00000546601
LGR5,ENSG00000139292,ENST00000266674
LGR5,ENSG00000139292,ENST00000540815
TET1P1,ENSG00000232204,ENST00000426627
MCF2L,ENSG00000126217,ENST00000494043
MCF2L,ENSG00000126217,ENST00000423251
MCF2L,ENSG00000126217,ENST00000375597
MCF2L,ENSG00000126217,ENST00000375604
MCF2L,ENSG00000126217,ENST00000469558
MCF2L,ENSG00000126217,ENST00000535094
MCF2L,ENSG00000126217,ENST00000397030
MCF2L,ENSG00000126217,ENST00000421756
MCF2L,ENSG00000126217,ENST00000480321
MCF2L,ENSG00000126217,ENST00000397021
MCF2L,ENSG00000126217,ENST00000473345
MCF2L,ENSG00000126217,ENST00000375608
MCF2L,ENSG00000126217,ENST00000409954
,,ENSR00001865406
,,
CTD-2026K11.1,ENSG00000260892,ENST00000569467
CSPG4,ENSG00000173546,ENST00000308508
CTD-2026K11.6,ENSG00000203392,ENST00000435356
,,ENSR00001866355
MORF4L1,ENSG00000185787,ENST00000559345
MORF4L1,ENSG00000185787,ENST00000558830
MORF4L1,ENSG00000185787,ENST00000558746
MORF4L1,ENSG00000185787,ENST00000558539
MORF4L1,ENSG00000185787,ENST00000560422
MORF4L1,ENSG00000185787,ENST00000559258
MORF4L1,ENSG00000185787,ENST00000559930
MORF4L1,ENSG00000185787,ENST00000559158
MORF4L1,ENSG00000185787,ENST00000558923
MORF4L1,ENSG00000185787,ENST00000559619
MORF4L1,ENSG00000185787,ENST00000331268
MORF4L1,ENSG00000185787,ENST00000426013
MORF4L1,ENSG00000185787,ENST00000558893
MORF4L1,ENSG00000185787,ENST00000557961
MORF4L1,ENSG00000185787,ENST00000559697
MORF4L1,ENSG00000185787,ENST00000558522
MORF4L1,ENSG00000185787,ENST00000558502
MORF4L1,ENSG00000185787,ENST00000559244
MORF4L1,ENSG00000185787,ENST00000559690
MORF4L1,ENSG00000185787,ENST00000561171
MORF4L1,ENSG00000185787,ENST00000559751
MORF4L1,ENSG00000185787,ENST00000379535
